CO2 Emissions: 0.005140697641224397 kg
Peak Memory Usage: 3056.34765625 MB

Profile Stats:
         36904374 function calls (34790896 primitive calls) in 865.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18768    0.288    0.000    5.867    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/structure.py:197(_from_tensor_list_helper)
    66291    5.797    0.000    5.797    0.000 {method 'acquire' of '_thread.lock' objects}
    18678    0.449    0.000    5.744    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/math_ops.py:1962(range)
    38180    0.288    0.000    5.677    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:866(_tf_core_pack_sequence_as)
    19985    0.176    0.000    5.639    0.000 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/core.py:125(convert_to_tensor)
    18763    0.168    0.000    5.632    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:438(pack_output)
    18760    0.276    0.000    5.606    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/optional_ops.py:174(has_value)
56927/56867    0.184    0.000    5.370    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/weak_tensor_ops.py:140(wrapper)
    18760    0.268    0.000    5.292    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:257(from_tensors)
    56719    0.872    0.000    5.039    0.000 /usr/lib/python3.11/typing.py:2009(__instancecheck__)
    56414    0.327    0.000    4.993    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/constant_tensor_conversion.py:23(_constant_tensor_conversion_function)
    56769    0.622    0.000    4.961    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:174(sequence_like)
    75153    0.100    0.000    4.681    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/constant_op.py:177(constant)
    75153    0.252    0.000    4.582    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/constant_op.py:280(_constant_impl)
    37520    0.050    0.000    4.168    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/structure.py:275(<lambda>)
    37520    0.117    0.000    4.118    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:464(_from_tensor_list)
     10/8    0.000    0.000    4.038    0.505 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/polymorphic_function.py:661(_initialize)
     12/8    0.001    0.000    4.026    0.503 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/tracing_compilation.py:295(_create_concrete_function)
     56/8    0.006    0.000    4.007    0.501 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/func_graph.py:920(func_graph_from_py_func)
    18760    0.099    0.000    3.975    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/gen_optional_ops.py:158(optional_has_value)
     11/8    0.000    0.000    3.960    0.495 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/polymorphic_function.py:580(wrapped_fn)
     11/8    0.000    0.000    3.955    0.494 /usr/local/lib/python3.11/dist-packages/tensorflow/python/autograph/impl/api.py:295(converted_call)
     11/8    0.000    0.000    3.953    0.494 /usr/local/lib/python3.11/dist-packages/tensorflow/python/autograph/impl/api.py:449(_call_unconverted)
      5/2    0.000    0.000    3.906    1.953 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/autograph_util.py:38(autograph_handler)
     50/2    0.001    0.000    3.906    1.953 /usr/local/lib/python3.11/dist-packages/tensorflow/python/autograph/impl/api.py:641(wrapper)
        2    0.000    0.000    3.906    1.953 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:128(multi_step_on_iterator)
59097/58915    0.103    0.000    3.794    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/profiler/trace.py:178(wrapped)
    74776    0.091    0.000    3.769    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/constant_op.py:297(_constant_eager_impl)
    37520    0.258    0.000    3.729    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:585(__check_tensor_list)
59097/58915    0.082    0.000    3.691    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/ops.py:717(convert_to_tensor)
    74776    2.752    0.000    3.678    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/constant_op.py:75(convert_to_eager_tensor)
    93840    0.282    0.000    3.559    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:154(__hash__)
    19061    0.062    0.000    3.491    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor_conversion.py:96(convert_to_tensor_v2_with_dispatch)
    19061    0.068    0.000    3.429    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor_conversion.py:166(convert_to_tensor_v2)
   794412    0.985    0.000    3.256    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:893(__hash__)
        3    0.000    0.000    3.252    1.084 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:110(one_step_on_data)
        3    0.000    0.000    3.251    1.084 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:1557(run)
        3    0.000    0.000    3.251    1.084 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:3215(call_for_each_replica)
        3    0.000    0.000    3.251    1.084 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:4059(_call_for_each_replica)
        2    0.000    0.000    3.087    1.543 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:51(train_step)
    18760    0.077    0.000    3.044    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/gen_optional_ops.py:79(optional_get_value)
57488/57291    0.434    0.000    2.933    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/trace_type/trace_type_builder.py:127(from_value)
   113459    2.149    0.000    2.894    0.000 /usr/lib/python3.11/typing.py:1930(_get_protocol_attrs)
    93794    0.161    0.000    2.838    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:553(__hash__)
    18776    0.135    0.000    2.798    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/function_type_utils.py:362(make_canonicalized_monomorphic_type)
    18776    0.431    0.000    2.653    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/core/function/polymorphism/function_type.py:531(canonicalize_to_monomorphic)
    56731    0.241    0.000    2.556    0.000 /usr/lib/python3.11/typing.py:1947(_is_callable_members_only)
